,Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
,,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
W:000 D:001,885,206,534,65,8,24,5,4,1,,38
W:000 D:002,902,220,510,64,16,26,5,8,,,53
W:000 D:003,588,213,226,38,30,35,6,0,,,40
W:000 D:004,542,136,315,38,11,13,1,1,,,27
W:000 D:005,577,141,326,49,5,14,5,4,,,33
W:000 D:006,747,229,369,53,15,27,8,1,,,45
W:000 D:007,608,188,328,23,10,23,3,2,,1,30
W:000 D:008,700,204,358,45,13,32,5,3,,1,39
W:000 D:009,430,63,281,39,6,14,3,1,,,23
W:000 D:010,697,155,393,52,12,26,6,5,,,48
W:000 D:011,744,183,419,54,10,23,6,7,,,42
W:000 D:012,751,171,437,58,7,24,2,4,,,48
