"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
W:000 D:001,547,169,275,31,14,15,5,5,,,33
W:000 D:002,621,119,397,31,14,25,3,3,,,29
W:000 D:003,332,65,201,20,4,19,2,1,1,,19
W:000 D:004,849,181,505,60,10,33,6,3,1,,50
W:000 D:005,697,135,440,49,10,23,2,4,,,34
W:000 D:006,555,76,354,46,18,25,4,3,,,29
W:000 D:007,701,129,435,44,9,26,5,4,,,49
W:000 D:008,347,70,231,13,5,15,0,0,,,13
W:000 D:009,710,179,409,44,14,18,4,4,,,38
W:000 D:010,847,199,487,57,16,28,3,7,,,50
W:000 D:011,607,133,366,48,9,21,4,4,,,22
W:000 D:012,501,73,296,44,10,30,8,7,,,33
W:000 D:013,756,169,439,56,6,38,3,2,,1,42
W:000 D:014,643,153,377,36,11,30,5,2,,,29
