"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Paul D. Tonko,Joe Vitollo,Joe Vitollo,Paul D. Tonko,Paul D. Tonko,Paul D. Tonko,Joe Vitollo,Write-in,Scatter,
W:000 D:001,885,398,341,44,17,27,4,5,,,49
W:000 D:002,902,418,331,52,18,24,7,5,,,47
W:000 D:003,588,304,138,33,27,31,8,2,1,,44
W:000 D:004,542,277,184,33,17,9,1,2,,,19
W:000 D:005,577,266,212,41,11,15,4,1,,,27
W:000 D:006,747,377,219,45,19,25,9,3,,,50
W:000 D:007,608,329,190,21,17,16,5,1,,1,28
W:000 D:008,700,348,227,32,21,20,8,4,1,1,38
W:000 D:009,430,172,171,36,12,9,1,1,,,28
W:000 D:010,697,328,234,43,16,19,7,3,,,47
W:000 D:011,744,382,230,44,19,19,6,2,,,42
W:000 D:012,751,377,257,38,21,17,2,1,1,,37
