"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Paul D. Tonko,Joe Vitollo,Joe Vitollo,Paul D. Tonko,Paul D. Tonko,Paul D. Tonko,Joe Vitollo,Write-in,Scatter,
W:000 D:001,621,378,155,19,12,9,11,1,,,36
W:000 D:002,530,356,91,11,15,10,3,1,,,43
W:000 D:003,272,134,86,5,8,15,3,1,,,20
W:000 D:004,629,419,112,27,21,15,13,2,,,20
W:000 D:005,567,326,151,23,28,11,5,1,,,22
W:000 D:006,676,429,142,19,24,15,9,1,,,37
W:000 D:007,172,86,50,14,6,6,0,0,,,10
W:000 D:008,536,350,122,10,11,6,7,1,,,29
W:000 D:009,556,355,111,23,11,25,5,2,,1,23
W:000 D:010,456,243,121,28,7,14,3,2,1,,37
W:000 D:011,957,567,231,29,42,23,11,3,,,51
W:000 D:012,567,336,129,19,21,18,18,1,,,25
W:000 D:013,357,215,82,7,9,14,8,1,1,,20
W:000 D:014,751,436,177,24,30,16,11,2,1,,54
W:000 D:015,550,296,137,22,19,11,8,4,1,,52
W:000 D:016,438,226,131,19,24,8,5,0,,,25
W:000 D:017,663,306,261,21,17,23,5,2,,,28
W:000 D:018,523,270,161,28,17,18,2,0,,,27
W:000 D:019,546,323,141,20,17,14,5,1,,,25
W:000 D:020,650,332,204,37,11,30,3,2,,,31
W:000 D:021,660,379,188,34,10,15,5,5,,,24
W:000 D:022,911,478,310,48,12,23,4,2,,,34
W:000 D:023,848,479,250,40,14,19,6,2,,,38
W:000 D:024,475,361,20,4,11,5,6,1,,,67
W:000 D:025,328,197,88,11,9,9,1,1,,,12
