"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Matthew J.,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Write-in,Scatter,
"",,,,,Funiciello,,,,,,
W:000 D:001,547,198,233,24,17,18,15,4,,,38
W:000 D:002,621,153,349,29,21,14,19,1,,,35
W:000 D:003,332,78,177,12,15,6,17,2,2,,23
W:000 D:004,849,224,434,64,22,11,30,3,,,61
W:000 D:005,697,169,389,39,25,10,11,5,,,49
W:000 D:006,555,97,330,43,18,17,14,2,,,34
W:000 D:007,701,156,397,40,14,14,21,2,1,,56
W:000 D:008,347,90,195,10,9,6,16,0,,,21
W:000 D:009,710,213,367,35,18,15,22,1,,1,38
W:000 D:010,847,212,452,60,33,20,20,3,,,47
W:000 D:011,607,166,312,45,22,10,15,5,,,32
W:000 D:012,501,91,276,45,8,14,22,3,1,,41
W:000 D:013,756,207,395,52,27,6,31,2,,,36
W:000 D:014,643,196,334,33,18,17,20,2,,,23
