"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Matthew J.,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Write-in,Scatter,
"",,,,,Funiciello,,,,,,
W:000 D:001,415,78,244,23,31,6,7,4,1,,21
W:000 D:002,369,84,202,19,35,6,13,1,,,9
W:000 D:003,580,128,297,44,51,12,27,1,,,20
W:000 D:004,739,127,429,41,70,16,24,6,,,26
W:000 D:005,797,169,435,58,55,18,30,3,3,,26
W:000 D:006,713,147,410,41,59,5,28,5,,1,17
W:000 D:007,473,98,274,23,36,3,18,2,,,19
W:000 D:008,381,79,216,16,35,8,8,6,,,13
W:000 D:009,600,145,306,45,47,8,23,3,,,23
W:000 D:010,940,167,556,57,66,15,38,3,,,38
W:000 D:011,783,217,406,43,38,7,30,1,,,41
