"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Matthew J.,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Write-in,Scatter,
"",,,,,Funiciello,,,,,,
W:000 D:001,657,173,369,34,24,11,22,2,,,22
W:000 D:002,619,174,342,37,19,5,21,1,,,20
W:000 D:003,599,200,287,35,24,8,17,2,1,,25
W:000 D:004,630,200,309,26,18,18,22,0,1,,36
W:000 D:005,617,158,342,40,27,10,19,2,,,19
W:000 D:006,473,100,273,24,20,9,10,1,,,36
W:000 D:007,502,161,251,31,14,11,11,2,,,21
W:000 D:008,569,182,274,27,27,9,19,1,1,,29
W:000 D:009,711,193,371,40,39,14,13,1,1,,39
W:000 D:010,612,209,299,38,9,13,20,1,,,23
W:000 D:011,636,198,327,33,13,13,19,1,,1,31
W:000 D:012,499,157,237,33,23,9,15,0,,,25
W:000 D:013,518,144,244,44,20,14,25,0,,,27
W:000 D:014,576,207,250,34,26,14,19,2,,,24
W:000 D:015,399,127,212,17,13,6,8,0,1,,15
