,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
,,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
,,,,,Wilson,,,,,,,,
W:000 D:001,657,312,206,54,6,19,27,4,1,5,,,23
W:000 D:002,600,282,187,60,4,18,25,6,2,6,,,10
W:000 D:003,456,236,140,28,2,14,13,3,1,6,,,13
W:000 D:004,876,470,266,46,16,17,22,6,2,10,,,21
W:000 D:005,282,129,92,21,1,10,10,1,0,2,,,16
W:000 D:006,700,369,204,46,5,17,17,5,1,5,,,31
W:000 D:007,355,206,94,17,5,10,8,3,1,3,,,8
W:000 D:008,699,417,178,25,7,20,18,9,3,7,,,15
W:000 D:009,276,170,55,8,0,9,8,3,4,5,,,14
W:000 D:010,714,370,227,24,6,28,18,3,4,9,,,25
W:000 D:011,602,321,184,35,4,12,17,3,3,5,,,18
W:000 D:012,783,397,243,47,11,20,24,5,3,5,,,28
W:000 D:013,601,318,182,26,8,18,20,4,3,2,,,20
W:000 D:014,700,347,219,54,8,18,18,3,1,4,1,,27
W:000 D:015,819,425,272,44,4,11,18,8,4,11,,,22
W:000 D:016,620,352,162,30,4,18,24,6,1,8,,,15
W:000 D:017,455,267,99,20,4,13,17,7,3,7,,,18
W:000 D:018,673,407,163,38,8,11,21,2,3,8,,,12
W:000 D:019,702,382,179,50,4,23,28,4,3,3,,,26
W:000 D:020,644,343,199,33,3,10,16,9,1,9,1,,20
W:000 D:021,730,404,208,31,10,18,19,4,0,13,,,23
W:000 D:022,698,356,204,46,7,18,21,7,0,8,,1,30
W:000 D:023,626,310,200,44,7,18,17,5,2,6,,,17
W:000 D:024,652,369,181,28,6,20,19,5,1,7,,,16
W:000 D:025,733,398,232,32,1,20,23,10,1,3,,,13
W:000 D:026,537,267,172,39,8,15,14,3,2,3,,,14
W:000 D:027,614,286,199,49,4,15,22,8,4,9,,,18
W:000 D:028,450,233,154,21,5,6,13,1,3,1,,,13
W:000 D:029,742,407,232,39,3,9,16,7,1,5,,,23
W:000 D:030,378,194,122,12,5,9,8,6,2,9,,,11
W:000 D:031,798,444,232,34,4,25,17,5,0,8,,,29
W:000 D:032,539,293,168,24,11,7,11,7,2,4,,,12
W:000 D:033,664,349,211,37,10,15,14,8,2,6,,,12
W:000 D:034,942,488,303,52,4,14,38,13,2,0,,,28
