,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
,,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
,,,,,Wilson,,,,,,,,
W:000 D:001,612,268,216,33,16,21,19,5,0,11,,,23
W:000 D:002,574,296,193,27,3,17,10,2,1,6,,,19
W:000 D:003,765,355,283,45,5,14,21,6,3,9,,,24
W:000 D:004,835,407,284,47,9,23,17,8,3,7,1,,29
W:000 D:005,584,289,173,33,4,25,17,8,0,0,,,35
W:000 D:006,590,278,201,25,9,12,25,6,3,6,1,,24
W:000 D:007,694,384,205,25,7,22,21,4,0,9,,,17
W:000 D:008,596,300,197,33,5,18,10,4,3,5,,,21
W:000 D:009,909,459,267,45,16,23,29,10,8,6,,,46
W:000 D:010,489,288,129,11,8,13,10,5,0,6,,,19
W:000 D:011,978,522,290,42,9,28,30,4,5,11,,,37
W:000 D:012,698,345,233,41,2,26,15,2,0,9,,,25
W:000 D:013,410,241,100,19,5,19,6,3,0,4,,,13
W:000 D:014,736,376,246,40,7,8,25,5,3,5,,,21
W:000 D:015,249,135,58,8,9,11,7,5,1,4,,1,10
W:000 D:016,205,97,67,12,2,5,5,2,0,3,,,12
W:000 D:017,276,155,71,9,5,6,15,1,0,2,,,12
W:000 D:018,914,453,308,36,8,31,22,5,3,8,,,40
W:000 D:019,567,314,176,34,3,9,8,4,1,0,,,18
