,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
,,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
,,,,,Wilson,,,,,,,,
W:000 D:001,885,408,321,46,12,22,22,6,2,11,,1,34
W:000 D:002,902,421,314,43,18,27,21,5,4,12,,,37
W:000 D:003,588,311,130,28,15,25,25,8,4,9,,1,32
W:000 D:004,542,278,175,35,1,19,13,1,2,7,,,11
W:000 D:005,577,275,193,41,3,13,18,2,0,14,,,18
W:000 D:006,747,384,210,37,17,20,23,10,2,10,,,34
W:000 D:007,608,338,182,15,5,28,20,2,0,2,,,16
W:000 D:008,700,364,214,32,11,16,23,11,3,5,1,,20
W:000 D:009,430,187,163,32,3,13,10,2,0,2,,,18
W:000 D:010,697,342,223,39,8,17,20,6,3,3,1,,35
W:000 D:011,744,372,223,43,9,26,27,4,4,5,,,31
W:000 D:012,751,392,238,37,4,19,22,3,2,3,1,,30
