,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
,,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
,,,,,Wilson,,,,,,,,
W:000 D:001,547,298,130,21,9,31,11,7,3,8,,,29
W:000 D:002,621,280,221,26,8,22,20,6,1,5,,,32
W:000 D:003,332,157,109,8,6,7,14,4,3,8,,,16
W:000 D:004,849,409,268,41,9,26,25,12,0,14,,,45
W:000 D:005,697,320,252,27,7,29,12,3,0,11,,,36
W:000 D:006,555,202,227,38,7,17,19,4,3,7,,,31
W:000 D:007,701,286,284,30,3,33,16,3,1,6,,,39
W:000 D:008,347,195,111,8,1,6,11,0,1,4,,,10
W:000 D:009,710,356,236,32,8,22,22,6,0,6,,,22
W:000 D:010,847,423,280,38,4,31,16,5,3,11,,,36
W:000 D:011,607,295,185,38,11,22,20,3,1,5,,,27
W:000 D:012,501,181,195,30,10,24,19,7,1,5,,,29
W:000 D:013,756,363,261,37,5,25,17,2,5,7,,,34
W:000 D:014,643,336,190,25,9,30,17,2,0,6,,,28
