"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,415,204,135,19,10,14,13,2,0,3,,,15
W:000 D:002,369,207,91,11,7,18,14,4,1,5,,,11
W:000 D:003,580,308,139,26,16,26,16,6,2,5,,,36
W:000 D:004,739,330,250,37,21,29,26,7,3,6,,,30
W:000 D:005,797,389,247,43,16,24,24,4,5,18,1,,26
W:000 D:006,713,342,243,30,15,20,21,9,0,6,,,27
W:000 D:007,473,219,168,16,9,15,15,2,0,4,,,25
W:000 D:008,381,181,110,9,11,20,11,3,5,5,,,26
W:000 D:009,600,316,154,29,12,25,30,2,2,6,,,24
W:000 D:010,940,419,328,53,15,40,31,5,4,5,,,40
W:000 D:011,783,432,206,38,13,33,21,2,0,4,,,34
