"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,621,390,149,13,12,10,13,7,1,6,,,20
W:000 D:002,530,357,93,10,7,19,9,4,2,1,,,28
W:000 D:003,272,143,81,5,4,9,12,3,0,6,,,9
W:000 D:004,629,411,115,17,10,24,15,11,2,8,1,,15
W:000 D:005,567,335,132,24,10,23,12,4,4,3,,,20
W:000 D:006,676,433,134,16,19,25,12,6,0,7,,,24
W:000 D:007,172,91,45,11,2,6,5,3,0,2,,,7
W:000 D:008,536,348,116,7,14,14,5,3,2,5,1,,21
W:000 D:009,556,365,111,12,13,8,24,3,0,5,,,15
W:000 D:010,456,248,118,28,5,12,18,2,0,7,1,,17
W:000 D:011,957,586,214,23,18,33,24,10,1,12,,,36
W:000 D:012,567,352,113,16,12,20,16,12,2,6,,,18
W:000 D:013,357,206,78,8,14,15,11,7,1,3,1,,13
W:000 D:014,751,460,157,17,14,30,15,10,4,4,1,,39
W:000 D:015,550,322,145,20,7,14,13,7,14,2,,,6
W:000 D:016,438,229,119,19,7,20,14,3,1,4,2,,20
W:000 D:017,663,327,242,25,10,15,19,3,0,5,,,17
W:000 D:018,523,272,142,28,9,24,20,4,0,7,1,,16
W:000 D:019,546,329,133,18,8,16,12,5,1,5,,,19
W:000 D:020,650,339,186,31,10,16,34,3,1,8,1,,21
W:000 D:021,660,395,173,31,5,8,16,4,2,9,,,17
W:000 D:022,911,518,276,43,8,12,25,4,3,9,,,13
W:000 D:023,848,488,238,36,7,17,25,7,1,10,,,19
W:000 D:024,475,370,19,2,20,10,3,6,1,7,,,37
W:000 D:025,328,205,80,8,5,6,14,2,0,2,,,6
