"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,447,173,163,38,12,15,14,7,2,4,1,,18
W:000 D:002,310,155,108,9,1,7,8,4,0,2,,,16
W:000 D:003,651,303,214,43,4,21,19,2,4,6,,,35
W:000 D:004,401,191,116,27,10,23,12,3,2,3,,,14
W:000 D:005,1129,485,440,61,6,36,36,10,5,12,,,38
W:000 D:006,152,49,70,11,1,5,4,2,0,3,,,7
W:000 D:007,643,309,193,53,5,26,20,3,2,4,,,28
W:000 D:008,622,276,250,38,7,13,8,3,3,4,,,20
