"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,372,193,81,17,15,22,16,6,2,5,1,,14
W:000 D:002,370,202,83,12,6,12,21,1,0,6,1,,26
W:000 D:003,449,235,114,24,2,21,16,3,5,7,1,,21
W:000 D:004,334,162,91,18,8,16,13,4,1,4,,,17
W:000 D:005,469,228,132,26,8,23,16,6,1,4,,,25
W:000 D:006,718,375,203,40,9,28,24,3,3,5,,1,27
W:000 D:007,460,241,154,22,5,8,12,3,2,2,,,11
W:000 D:008,792,410,260,41,7,28,23,3,1,8,,,11
