"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,657,321,230,22,7,18,22,3,5,12,,,17
W:000 D:002,619,302,229,25,4,15,12,8,1,6,1,,16
W:000 D:003,599,319,195,25,4,15,12,6,0,2,,,21
W:000 D:004,630,342,178,25,10,24,19,5,0,6,1,3,17
W:000 D:005,617,296,213,37,8,19,16,6,1,4,,,17
W:000 D:006,473,197,185,17,5,14,15,2,2,2,,,34
W:000 D:007,502,258,164,25,5,16,13,2,1,4,1,,13
W:000 D:008,569,314,151,24,12,19,18,3,3,2,,,23
W:000 D:009,711,328,252,27,6,23,17,8,3,10,,,37
W:000 D:010,612,333,192,24,5,11,19,8,2,2,1,,15
W:000 D:011,636,342,179,20,5,20,24,6,2,7,1,,30
W:000 D:012,499,266,151,29,14,10,12,3,0,2,1,,11
W:000 D:013,518,252,168,29,7,21,14,4,0,6,,,17
W:000 D:014,576,299,169,28,8,28,14,4,1,5,,,20
W:000 D:015,399,224,117,15,4,10,7,4,0,3,1,,14
